Street Name,Record Count,Years,Amendment,Notes
CHARNWOOD ROAD,11,1927,Charnwood Road,Auto-casing match
Chaucer Road,24,1933; 1938; 1946; 1950,,
Chelston Place,54,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CHELSTON PLACE,10,1927,Chelston Place,Auto-casing match
Chepstow Road,3769,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CHEPSTOW ROAD,43,1927,Chepstow Road,Auto-casing match
CHESTERFIELD STREET,1,1936,,
Chestnut Avenue,226,1933; 1938; 1946; 1950,,
CHESTNUT AVENUE,57,1936,Chestnut Avenue,Auto-casing match
CHOPSTOW ROAD,23,1878,,
Christchurch Road,1483,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CHRISTCHURCH ROAD,279,1936,Christchurch Road,Auto-casing match
Church Path,4,1897,,
Church Road,1269,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CHURCH ROAD,162,1927; 1936,Church Road,Auto-casing match
Church Street,246,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CHURCH STREET,102,1878; 1936,Church Street,Auto-casing match
Claremont Terrace,4,1933,,
Clarence Place,431,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CLARENCE PLACE,165,1878; 1927; 1936,Clarence Place,Auto-casing match
Clarence Street,311,1876; 1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CLARENCE STREET,76,1878; 1936,Clarence Street,Auto-casing match
CLARENCE STREET E 4,71,1927,,
Clayton Street,110,1914; 1933; 1938; 1946; 1950,,
CLAYTON STREET,29,1936,Clayton Street,Auto-casing match
CLAYTON STREET. C 4,23,1927,,
CLEDEDON ROAD. D 2,14,1927,,
Clevedon Road,182,1914; 1933; 1938; 1946; 1950,,
CLEVEDON ROAD,32,1936,Clevedon Road,Auto-casing match
CLEVEDON TERRACE,39,1927,,
Clifford Crescent,2,1876,,
Clifton Place,182,1876; 1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CLIFTON PLACE,41,1878; 1936,Clifton Place,Auto-casing match
CLIFTON PLACE. D 5,3,1927,,
Clifton Road,100,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CLIFTON ROAD,32,1878; 1927; 1936,Clifton Road,Auto-casing match
Clifton Terrace,4,1876; 1886,,
Club Row,66,1876; 1886; 1897,,
CLUB ROW,8,1878,Club Row,Auto-casing match
Clyffard Crescent,269,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CLYFFARD CRESCENT,45,1936,Clyffard Crescent,Auto-casing match
CLYFFARD CRESCENT. D 5,17,1927,,
CLYFFORD CRESCENT,9,1878,,
Clytha Crecsent,15,1914,,
Clytha Crescent,114,1876; 1897; 1905; 1933; 1938; 1946; 1950,,
CLYTHA CRESCENT,32,1878; 1936,Clytha Crescent,Auto-casing match
Clytha Park,85,1914; 1946,,
CLYTHA PARK,12,1878,Clytha Park,Auto-casing match
Clytha Park & Road,69,1897; 1905,,
Clytha Park Road,121,1876; 1933; 1938; 1950,,
CLYTHA PARK ROAD,92,1878; 1927; 1936,Clytha Park Road,Auto-casing match
CLYTHA PARK ROAD. C 5,31,1927,,
Clytha Square,346,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CLYTHA SQUARE,162,1878; 1927; 1936,Clytha Square,Auto-casing match
Coldra Road,401,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
COLDRA ROAD,75,1936,Coldra Road,Auto-casing match
Coleridge Road,69,1933; 1938; 1946; 1950,,
COLERIDGE ROAD,215,1936,Coleridge Road,Auto-casing match
Collier Street,160,1914; 1933; 1938; 1946; 1950,,
Collingwood Close,42,1938; 1946; 1950,,
Collingwood Road,98,1933; 1938; 1946; 1950,,
Collingwood Street,20,1914,,
Collins Close,8,1950,,
Colne Street,163,1914; 1933; 1938; 1946; 1950,,
Colston Avenue,102,1933; 1938; 1946; 1950,,
Colston Place,11,1938; 1946; 1950,,
Commassie Street,34,1897,,
Commercial Buildings,4,1876; 1933,,
Commercial Road,1703,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
COMMERCIAL ROAD,148,1878; 1927,Commercial Road,Auto-casing match
Commercial Street,1972,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
COMMERCIAL STREET,201,1878,Commercial Street,Auto-casing match
COMMERCIAL Street,1,1927,Commercial Street,Auto-casing match
COMMERCIAL STREET CONTD,4,1878,,
Commercial Wharf,125,1876; 1886; 1897; 1905; 1914; 1933; 1938; 1946,,
COMMERCIAL WHARF,22,1878,Commercial Wharf,Auto-casing match
Commercial Wharf (The Town),4,1933,,
Compton Terrace,9,1933,,
CONGREGATIONAL CHURCH,16,1927,,
Constables Lane,17,1905; 1914; 1933; 1950,,
Constables' Lane,6,1938; 1946,,
Constance Street,387,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
Conway Croft,43,1933; 1938; 1946; 1950,,
Conway Road,834,1914; 1933; 1938; 1946; 1950,,
CONWAY ROAD,106,1927,Conway Road,Auto-casing match
Conway Sac,40,1933; 1938; 1946; 1950,,
CONWAY SAC,10,1936,Conway Sac,Auto-casing match
COOMASSIA STREET,1,1878,,
Coomassie Street,222,1905; 1914; 1933; 1938; 1946; 1950,,
COOMASSIE STREET,34,1936,Coomassie Street,Auto-casing match
Corelli Street,278,1905; 1914; 1933; 1938; 1946; 1950,,
CORELLI STREET,91,1927; 1936,Corelli Street,Auto-casing match
Cork Wharf,1,1933,,
Corn Exchange Chambers,1,1886,,
