Street Name	Record Count	Years	Amendment	Notes
Corporation Road. C 4 77	145	1927		
Corporation Yard	307	1927; 1933		
Coseley Street	122	1898; 1899; 1903		
Cot Farm Circle	60	1971	Cot Farm Circle	
Cot Farm Close	40	1971	Cot Farm Close	
Cot Farm Road	8	1971	Cot Farm Road	
Cotman Close	14	1971	Cotman Close	
Council Chambers	2	1905; 1933		
Court-y-bella Terrace	7	1878		
Courtbella Street	47	1878		
Courtney Street	101	1933; 1936; 1938; 1946; 1950; 1971		
Courtybella	310	1878; 1887; 1890; 1893; 1894; 1914; 1927; 1933; 1971		Investigate
Courtybella Street	293	1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Courtybella Terrace	425	1893; 1894; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
