Street Name,Record Count,Years,Amendment,Notes
Edward Street,64,1886; 1905,,
Edward VII Avenue,308,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Edward VII Crescent,39,1933; 1936; 1938; 1946; 1950,,
Edwin Street,179,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Elaine Crescent,70,1936; 1938; 1946; 1950,,
Eldon Chambers,1,1905,,
Elgar Avenue,132,1946; 1950,,
Elgar Circle,81,1946; 1950,,
Elgar Close,27,1950,,
Elysia Street,12,1938; 1946; 1950,,
Emlyn Chambers,4,1905; 1927; 1938; 1946,,
Emlyn Street,423,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Emlyn Terrace,117,1905; 1914; 1933; 1936; 1938,,
English Baptist Church,3,1927,,
Enville Road,14,1946; 1950,,
Essex Street,37,1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Eton Road,344,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Evans Street,149,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Eveswell Park,151,1905; 1914; 1933; 1936; 1938; 1946,,
Eveswell Park Road,26,1950,,
Eveswell Street,325,1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Eveswell Terrace,12,1905; 1933; 1936; 1938; 1946,,
Exchange Chambers,1,1933,,
Exchange Road,1,1933,,
Exeter Road,77,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Exeter Street,217,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
F,3,1927,,
Factory Road,81,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Fairfax Road,316,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Fairfax Street,8,1905,,
Fairoak Avenue,576,1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Fairoak Terrace,344,1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Fairways,1,1950,,
Faraday,1,1950,,
Farm Cottages,6,1933,,
Faulkner Road,87,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Feering Street,485,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Fibbank Crescent,21,1938,,
FICE T. &,69,1927,,
Fields Crescent Road,9,1897,,
Fields Park Avenue,236,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Fields Park Crescent,25,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Fields Park Road,480,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Fields Road,468,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Filey Road,68,1914; 1933; 1936; 1938; 1946; 1950,,
Firbank Avenue,65,1938; 1946; 1950,,
Firbank Crescent,54,1946; 1950,,
Fire Station Cottages,5,1933,,
Fire Station Flats,4,1933,,
Fleming Close,8,1950,,
Ford Street,422,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Fothergill Place,1,1914,,
Fothergill Street,58,1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Fotheringham Place,111,1933; 1936; 1938; 1946; 1950,,
Francis Street,119,1876; 1878; 1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
FRANCIS' DYE WORKS,2,1927,,
FRANCIS' DYE WORKS. ESTAB. 1890,346,1927,,
FRANCIS’ DYE WORKS. ESTAB. 1890,54,1927,,
Frank Street,131,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Frederick Street,308,1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Friar's Road,6,1886,,
Friars Chambers,4,1905; 1936; 1938; 1946,,
Friars Crescent,16,1936; 1938; 1946; 1950,,
Friars Fields,4,1876; 1878,,
Friars Road,272,1876; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Friars Street,116,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
FRIARS' ROAD,10,1878,,
Frobisher Road,67,1938; 1946; 1950,,
Fulford's Cottages,10,1886; 1933; 1936; 1938; 1946,,
Fulfords Cottages,1,1905,,
G,230,1927,,
G.W.R. INSTITUTE,6,1927,,Investigate
Gaer Fach,15,1933; 1938; 1946,,
Gaer Park Avenue,490,1933; 1936; 1938; 1946; 1950,,
Gaer Park Crescent,52,1933; 1936,,
Gaer Park Drive,666,1933; 1936; 1938; 1946; 1950,,
Gaer Park Hill,82,1933; 1936; 1938; 1946; 1950,,
Gaer Park Lane,139,1933; 1936; 1938; 1946; 1950,,
Gaer Park Parade,46,1933; 1936; 1938; 1946; 1950,,
Gaer Park Road,404,1933; 1936; 1938; 1946; 1950,,
